UKT,NILAI UKT,PENGHASILAN AYAH,PENGHASILAN IBU,TOTAL PENGHASILAN,"Jumlah Anggota Keluarga (Ayah, Ibu dan Anak)",TOTAL PENGHASILAN/JUMLAH ANGGOTA KEL,STATUS AYAH,STATUS IBU,STATUS KIP,STATUS TDK MAMPU,STATUS KKS
4.0,3200000.0,1500000,0,1500000,6.0,250000.0,1,1,1,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,0,0,0,0,0
3.0,2400000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,1
2.0,1825000.0,1000000,0,1000000,6.0,166666.6667,0,0,0,0,0
1.0,400000.0,0,0,0,6.0,0.0,0,1,1,0,0
3.0,2600000.0,500000,0,500000,7.0,71428.57143,1,1,0,0,0
3.0,2900000.0,2000000,0,2000000,6.0,333333.3333,1,1,0,0,0
1.0,400000.0,0,0,0,4.0,0.0,0,0,0,0,0
3.0,2400000.0,1600000,0,1600000,5.0,320000.0,1,1,1,0,1
2.0,1925000.0,1500000,0,1500000,6.0,250000.0,1,1,1,0,1
2.0,1825000.0,2000000,0,2000000,5.0,400000.0,0,0,0,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,0,0,0,0,0
1.0,400000.0,0,500000,500000,2.0,250000.0,0,1,0,0,0
2.0,1925000.0,0,0,0,5.0,0.0,1,1,0,0,0
2.0,1825000.0,0,1000000,1000000,5.0,200000.0,1,1,1,0,0
4.0,3200000.0,1500000,0,1500000,5.0,300000.0,1,1,1,1,1
4.0,3200000.0,320000,0,320000,6.0,53333.33333,1,1,1,0,1
4.0,2800000.0,1500000,0,1500000,3.0,500000.0,1,1,0,0,0
4.0,2800000.0,0,0,0,6.0,0.0,1,1,0,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
2.0,1900000.0,1500000,0,1500000,3.0,500000.0,1,1,1,1,1
3.0,2400000.0,700000,0,700000,4.0,175000.0,1,1,0,0,1
3.0,2400000.0,3000000,0,3000000,7.0,428571.4286,1,1,0,0,0
2.0,1925000.0,2000000,1000000,3000000,5.0,600000.0,1,1,1,0,1
3.0,2400000.0,1000000,700000,1700000,4.0,425000.0,1,1,0,0,1
4.0,2800000.0,2500000,0,2500000,4.0,625000.0,1,1,0,0,0
4.0,2800000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
2.0,1925000.0,1500000,0,1500000,6.0,250000.0,1,1,1,0,0
4.0,3600000.0,2000000,0,2000000,10.0,200000.0,1,1,1,0,1
4.0,2800000.0,300000,100000,400000,5.0,80000.0,0,0,0,0,0
4.0,3200000.0,0,750000,750000,3.0,250000.0,0,1,1,0,0
2.0,1825000.0,1000000,0,1000000,5.0,200000.0,1,1,1,1,1
4.0,2800000.0,0,500000,500000,4.0,125000.0,0,1,1,0,1
1.0,400000.0,0,0,0,4.0,0.0,1,1,1,1,1
